 Eigenvectors after division by SQRT(mass)

 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =   92.668788 THz   582.255166 2PiTHz 3091.098034 cm-1   383.247139 meV
             X         Y         Z           dx          dy          dz
2.875380 7.939936 13.908340 0.000182 -0.000105 0.000029
3.719169 3.171409 1.224242 0.000025 -0.000015 0.000010
3.854850 7.928272 12.900154 -0.000025 0.000015 -0.000010
3.905538 2.495774 2.453079 -0.000989 0.000591 -0.000149
3.668481 8.603907 11.671317 0.000989 -0.000591 0.000149
2.935222 2.524374 3.455308 -0.000126 -0.000090 0.000326
4.638797 8.575307 10.669088 0.000126 0.000090 -0.000326
3.123484 1.861451 4.711497 -0.007403 0.003942 -0.000193
4.450535 9.238230 9.412899 0.007403 -0.003942 0.000193
2.157608 1.918712 5.685533 -0.003822 0.010526 -0.019084
5.416411 9.180969 8.438863 0.003822 -0.010526 0.019084
0.941986 2.639235 5.465655 0.033044 -0.001314 -0.036044
6.632033 8.460445 8.658740 -0.033044 0.001314 0.036044
0.716085 3.282691 4.275831 0.020471 -0.013083 0.005735
6.857934 7.816990 9.848564 -0.020471 0.013083 -0.005735
1.695335 3.253034 3.231222 -0.000599 -0.000110 0.000918
5.878684 7.846646 10.893173 0.000599 0.000110 -0.000918
1.495953 3.915837 2.020092 0.000674 -0.000367 0.000046
6.078067 7.183844 12.104303 -0.000674 0.000367 -0.000046
5.098186 7.196984 13.124433 0.000033 -0.000040 0.000051
2.475833 3.902697 0.999962 -0.000033 0.000040 -0.000051
6.371443 10.622440 13.549097 -0.000101 -0.000038 -0.000051
1.202576 0.477240 0.575299 0.000101 0.000038 0.000051
5.967171 7.163488 0.814803 -0.000001 0.000002 0.000000
1.606848 3.936193 13.309592 0.000001 -0.000002 -0.000000
4.983276 6.594891 1.657242 -0.000130 -0.000046 -0.000085
2.590743 4.504789 12.467153 0.000130 0.000046 0.000085
5.173897 6.492191 3.035826 -0.000042 -0.000066 0.000100
2.400122 4.607490 11.088569 0.000042 0.000066 -0.000100
4.187287 5.905941 3.892689 0.000901 0.000328 0.000634
3.386732 5.193740 10.231706 -0.000901 -0.000328 -0.000634
4.399320 5.810569 5.245598 0.002540 0.001544 -0.002213
3.174700 5.289111 8.878798 -0.002540 -0.001544 0.002213
5.610011 6.298359 5.829263 -0.000409 0.000259 -0.003476
1.964008 4.801322 8.295133 0.000409 -0.000259 0.003476
6.586600 6.858686 5.043521 -0.002338 -0.000906 -0.000907
0.987419 4.240994 9.080875 0.002338 0.000906 0.000907
6.411273 6.979367 3.626882 -0.000013 -0.000001 0.000095
1.162747 4.120314 10.497514 0.000013 0.000001 -0.000095
1.121506 7.547218 2.807259 0.000283 0.000101 0.000125
6.452513 3.552463 11.317137 -0.000283 -0.000101 -0.000125
6.632662 3.445771 12.716280 -0.000001 -0.000003 0.000013
0.941357 7.653910 1.408116 0.000001 0.000003 -0.000013
5.633376 2.607569 0.382961 0.001665 -0.000967 0.000265
1.940643 8.492112 13.741435 -0.001665 0.000967 -0.000265
4.840773 1.945228 2.622035 0.011458 -0.006613 0.001653
2.733246 9.154452 11.502361 -0.011458 0.006613 -0.001653
4.055198 1.305234 4.876300 0.074185 -0.043981 0.011946
3.518821 9.794447 9.248096 -0.074185 0.043981 -0.011946
3.038702 9.149620 6.642741 0.036277 -0.114240 0.213019
4.535317 1.950061 7.481655 -0.036277 0.114240 -0.213019
6.454004 2.681878 6.259783 -0.383877 0.020758 0.404726
1.120015 8.417803 7.864613 0.383877 -0.020758 -0.404726
6.050913 3.837101 4.107258 -0.228891 0.137290 -0.042736
1.523106 7.262580 10.017137 0.228891 -0.137290 0.042736
0.561596 4.469044 1.854532 -0.006958 0.004465 -0.001998
7.012423 6.630636 12.269863 0.006958 -0.004465 0.001998
5.439271 10.251237 13.102605 0.001170 0.000431 0.000542
2.134749 0.848443 1.021791 -0.001170 -0.000431 -0.000542
4.050192 6.224641 1.211633 0.001567 0.000598 0.000705
3.523827 4.875040 12.912762 -0.001567 -0.000598 -0.000705
3.259340 5.531306 3.443297 -0.009215 -0.003820 -0.004615
4.314679 5.568374 10.681099 0.009215 0.003820 0.004615
3.638857 5.343538 5.881183 -0.029323 -0.017813 0.024417
3.935162 5.756143 8.243213 0.029323 0.017813 -0.024417
5.764399 6.218295 6.911756 0.004941 -0.003227 0.038590
1.809620 4.881386 7.212640 -0.004941 0.003227 -0.038590
1.257966 7.224272 5.481744 0.025923 0.009967 0.011966
6.316053 3.875408 8.642652 -0.025923 -0.009967 -0.011966
2.051955 7.920628 3.254803 -0.003157 -0.001108 -0.001620
5.522064 3.179053 10.869592 0.003157 0.001108 0.001620
 
   5 f  =   92.211859 THz   579.384198 2PiTHz 3075.856532 cm-1   381.357435 meV
             X         Y         Z           dx          dy          dz
4.698640 3.159745 0.216056 0.000070 -0.000047 0.000021
2.875380 7.939936 13.908340 -0.000070 0.000047 -0.000021
3.719169 3.171409 1.224242 0.000023 -0.000014 -0.000006
3.854850 7.928272 12.900154 -0.000023 0.000014 0.000006
3.905538 2.495774 2.453079 -0.000244 0.000139 -0.000061
3.668481 8.603907 11.671317 0.000244 -0.000139 0.000061
2.935222 2.524374 3.455308 -0.000007 -0.000058 0.000178
4.638797 8.575307 10.669088 0.000007 0.000058 -0.000178
3.123484 1.861451 4.711497 -0.004674 0.002649 -0.000508
4.450535 9.238230 9.412899 0.004674 -0.002649 0.000508
2.157608 1.918712 5.685533 -0.000680 0.003112 -0.006149
5.416411 9.180969 8.438863 0.000680 -0.003112 0.006149
0.941986 2.639235 5.465655 -0.000402 -0.000054 0.000568
6.632033 8.460445 8.658740 0.000402 0.000054 -0.000568
0.716085 3.282691 4.275831 0.000413 -0.000277 0.000135
6.857934 7.816990 9.848564 -0.000413 0.000277 -0.000135
1.695335 3.253034 3.231222 0.000036 0.000057 -0.000040
5.878684 7.846646 10.893173 -0.000036 -0.000057 0.000040
1.495953 3.915837 2.020092 -0.000152 0.000073 0.000020
6.078067 7.183844 12.104303 0.000152 -0.000073 -0.000020
5.098186 7.196984 13.124433 0.000010 -0.000019 -0.000028
2.475833 3.902697 0.999962 -0.000010 0.000019 0.000028
6.371443 10.622440 13.549097 0.000083 0.000036 0.000046
1.202576 0.477240 0.575299 -0.000083 -0.000036 -0.000046
5.967171 7.163488 0.814803 -0.000033 -0.000005 -0.000049
1.606848 3.936193 13.309592 0.000033 0.000005 0.000049
4.983276 6.594891 1.657242 0.000814 0.000339 0.000290
2.590743 4.504789 12.467153 -0.000814 -0.000339 -0.000290
5.173897 6.492191 3.035826 -0.000565 -0.000312 0.000377
2.400122 4.607490 11.088569 0.000565 0.000312 -0.000377
4.187287 5.905941 3.892689 0.014605 0.005814 0.007572
3.386732 5.193740 10.231706 -0.014605 -0.005814 -0.007572
4.399320 5.810569 5.245598 0.008917 0.005868 -0.010348
3.174700 5.289111 8.878798 -0.008917 -0.005868 0.010348
5.610011 6.298359 5.829263 0.003970 -0.004208 0.043510
1.964008 4.801322 8.295133 -0.003970 0.004208 -0.043510
6.586600 6.858686 5.043521 0.027618 0.011020 0.011083
0.987419 4.240994 9.080875 -0.027618 -0.011020 -0.011083
6.411273 6.979367 3.626882 0.000106 0.000243 -0.001264
1.162747 4.120314 10.497514 -0.000106 -0.000243 0.001264
1.121506 7.547218 2.807259 0.000234 0.000053 0.000230
6.452513 3.552463 11.317137 -0.000234 -0.000053 -0.000230
6.632662 3.445771 12.716280 0.000082 0.000053 -0.000047
0.941357 7.653910 1.408116 -0.000082 -0.000053 0.000047
5.633376 2.607569 0.382961 -0.000961 0.000617 -0.000172
1.940643 8.492112 13.741435 0.000961 -0.000617 0.000172
4.840773 1.945228 2.622035 0.003001 -0.001651 0.000397
2.733246 9.154452 11.502361 -0.003001 0.001651 -0.000397
4.055198 1.305234 4.876300 0.051378 -0.030461 0.009101
3.518821 9.794447 9.248096 -0.051378 0.030461 -0.009101
3.038702 9.149620 6.642741 0.011352 -0.035969 0.069070
4.535317 1.950061 7.481655 -0.011352 0.035969 -0.069070
6.454004 2.681878 6.259783 0.006672 -0.000234 -0.007129
1.120015 8.417803 7.864613 -0.006672 0.000234 0.007129
6.050913 3.837101 4.107258 -0.004619 0.002796 -0.000874
1.523106 7.262580 10.017137 0.004619 -0.002796 0.000874
0.561596 4.469044 1.854532 0.002085 -0.001228 0.000296
7.012423 6.630636 12.269863 -0.002085 0.001228 -0.000296
5.439271 10.251237 13.102605 -0.001104 -0.000507 -0.000590
2.134749 0.848443 1.021791 0.001104 0.000507 0.000590
4.050192 6.224641 1.211633 -0.008454 -0.003363 -0.004465
3.523827 4.875040 12.912762 0.008454 0.003363 0.004465
3.259340 5.531306 3.443297 -0.167672 -0.068090 -0.080604
4.314679 5.568374 10.681099 0.167672 0.068090 0.080604
3.638857 5.343538 5.881183 -0.120317 -0.073889 0.105647
3.935162 5.756143 8.243213 0.120317 0.073889 -0.105647
5.764399 6.218295 6.911756 -0.067086 0.038318 -0.495105
1.809620 4.881386 7.212640 0.067086 -0.038318 0.495105
1.257966 7.224272 5.481744 -0.302922 -0.118176 -0.142134
6.316053 3.875408 8.642652 0.302922 0.118176 0.142134
2.051955 7.920628 3.254803 -0.003147 -0.001261 -0.000503
5.522064 3.179053 10.869592 0.003147 0.001261 0.000503
 
   6 f  =   92.180740 THz   579.188669 2PiTHz 3074.818502 cm-1   381.228735 meV
             X         Y         Z           dx          dy          dz
4.698640 3.159745 0.216056 0.000111 -0.000079 0.000046
2.875380 7.939936 13.908340 0.000111 -0.000079 0.000046
3.719169 3.171409 1.224242 -0.000022 0.000012 0.000008
3.854850 7.928272 12.900154 -0.000022 0.000012 0.000008
3.905538 2.495774 2.453079 -0.000226 0.000128 0.000006
3.668481 8.603907 11.671317 -0.000226 0.000128 0.000006
2.935222 2.524374 3.455308 -0.000027 0.000068 -0.000144
